segment	kind	name	result	dur_ms	enc_id	difficulty	player	metric	value
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C01	damage	10000
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C01	overkill	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C01	petdamage	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C01	dps	1111.11
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C01	pct	66.67
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C01	heal	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C01	overheal	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C01	absorbheal	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C01	interrupts	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C01	cc	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C01	dispels	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C01	deaths	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C03	damage	5000
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C03	overkill	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C03	petdamage	5000
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C03	dps	555.56
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C03	pct	33.33
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C03	heal	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C03	overheal	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C03	absorbheal	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C03	interrupts	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C03	cc	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C03	dispels	0
1	Encounter	Relog Test A		9000	3140	15	Player-1168-0A1B2C03	deaths	0
2	Trash	Trash		2000			Player-1168-0A1B2C01	damage	3000
2	Trash	Trash		2000			Player-1168-0A1B2C01	overkill	0
2	Trash	Trash		2000			Player-1168-0A1B2C01	petdamage	0
2	Trash	Trash		2000			Player-1168-0A1B2C01	dps	1500.00
2	Trash	Trash		2000			Player-1168-0A1B2C01	pct	100.00
2	Trash	Trash		2000			Player-1168-0A1B2C01	heal	0
2	Trash	Trash		2000			Player-1168-0A1B2C01	overheal	0
2	Trash	Trash		2000			Player-1168-0A1B2C01	absorbheal	0
2	Trash	Trash		2000			Player-1168-0A1B2C01	interrupts	0
2	Trash	Trash		2000			Player-1168-0A1B2C01	cc	0
2	Trash	Trash		2000			Player-1168-0A1B2C01	dispels	0
2	Trash	Trash		2000			Player-1168-0A1B2C01	deaths	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C01	damage	20000
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C01	overkill	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C01	petdamage	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C01	dps	2000.00
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C01	pct	66.67
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C01	heal	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C01	overheal	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C01	absorbheal	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C01	interrupts	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C01	cc	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C01	dispels	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C01	deaths	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C03	damage	10000
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C03	overkill	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C03	petdamage	10000
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C03	dps	1000.00
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C03	pct	33.33
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C03	heal	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C03	overheal	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C03	absorbheal	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C03	interrupts	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C03	cc	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C03	dispels	0
3	Encounter	Relog Test B	kill	10000	3141	15	Player-1168-0A1B2C03	deaths	0
