id,name,WoWCombatLog-090226_172412.txt,WoWCombatLog-080126_225759.txt
17,"Power Word: Shield",419,7
47753,"Divine Aegis",0,1
47788,"Guardian Spirit",1,0
48707,"Anti-Magic Shell",328,0
77535,"Blood Shield",0,26
108366,"Soul Leech",74585,141
108416,"Dark Pact",1384,1
114214,"Angelic Bulwark",5,0
115069,"Stagger",0,94
157128,"Saved by the Light",9639,0
184662,"Shield of Vengeance",0,6
190456,"Ignore Pain",9201,0
203953,"Brambles",0,4
206967,"Will of the Necropolis",249,0
207203,"Frost Shield",2903,16
209388,"Bulwark of Order",1671,0
209426,"Darkness",41,0
229976,"Blessed Hammer",3097,0
235450,"Prismatic Barrier",6013,0
269935,"Bound by Shadow",179,0
317907,"Mastery: Divine Bulwark",3598,0
357170,"Time Dilation",122,0
362867,"Mystic Sheen",0,3
366155,"Reversion",6784,4
367364,"Reversion",35406,2
373862,"Temporal Anomaly",13591,0
377066,"Mental Fortitude",1679,6
385787,"Matted Fur",296,0
386124,"Fel Armor",17554,7
386208,"Defensive Stance",88,0
386394,"Battle-Scarred Veteran",10,0
394810,"Soulburn: Drain Life",14,0
409678,"Chrono Ward",0,5
410355,"Stretch Time",224,0
414019,"Greater Judgment",1387,0
414143,"Yu'lon's Grace",0,15
421453,"Ultimate Penitence",171,0
427901,"Deflecting Dance",0,23
428488,"Exhilarating Execution",0,5
432607,"Holy Bulwark",3,0
444741,"Anti-Magic Shell",7310,0
451447,"Don't Look Back",1744,0
454286,"Tempted Fate",2,6
457387,"Wind Barrier",1387,13
461499,"Overflowing Light",2995,0
461867,"Sacrosanct Crusade",1989,20
1236993,"Energy Shield",0,73
1241059,"Celestial Infusion",0,335
1241866,"Glistening Radiance",3608,1
1245369,"Beacon of the Savior",6053,0
1246768,"Power Word: Shield",0,3
1250587,"Binding Flame",571,0
1251586,"Umbral Shell",5,0
1253593,"Void Shield",5388,5
1266508,"Safeguard Prism",12,0
1266619,"First In, Last Out",148,15
1267220,"Danger Sense",0,21
1277443,"Armory of Light",1068,0
1285161,"Protective Toadstools",520,14
1286912,"Veil of Twilight",1377,0
1287533,"Gravebound Advance",4055,0
1287955,"Rune of Void-Tainted Shell",882,0
1295328,"First Mate's Shellward",82,0
1297445,"Dreadmarch",1007,0
1297827,"Pet Protector Immunity",1367,0
1298372,"Venom Barrier",733,0
1298401,"Bulwark of the Protector",663,0
1298900,"Brutal Slams",1596,0
1300642,"Condensation",11950,0
1307578,"Soulcoil Barrier",14017,0
1309497,"Refractive Images",19340,0
1312366,"Miasmic Coating",25893,0
