id,name,WoWCombatLog-090226_172412.txt,WoWCombatLog-080126_225759.txt,WoWCombatLog-090726_185257.txt,WoWCombatLog-091426_172259.txt,WoWCombatLog-092026_142939.txt,WoWCombatLog-090626_142343.txt,WoWCombatLog-090926_174710.txt,WoWCombatLog-091626_172855.txt
17,"Power Word: Shield",159,10,595,626,883,560,208,55
126,"Eye of Kilrogg",0,0,0,0,0,0,2,1
130,"Slow Fall",11,0,6,8,2,7,2,7
139,"Renew",144,5,1990,2798,2481,2559,412,5
465,"Devotion Aura",3490,90,2772,2505,2348,3685,2643,3171
498,"Divine Protection",30,0,81,109,109,89,12,30
546,"Water Walking",4,1,0,5,3,6,0,2
586,"Fade",161,1,223,276,257,224,238,19
642,"Divine Shield",8,1,14,21,19,18,21,15
740,"Tranquility",0,0,0,16,21,0,0,0
768,"Cat Form",243,9,11,65,63,76,132,152
774,"Rejuvenation",100,3,4,2401,2737,10,62,75
871,"Shield Wall",56,0,0,0,0,0,37,61
974,"Earth Shield",75,2,46,149,115,114,223,193
982,"Revive Pet",0,0,0,1,1,1,0,0
1022,"Blessing of Protection",7,0,1,6,0,4,4,5
1044,"Blessing of Freedom",102,0,8,129,209,15,118,119
1066,"Travel Form",3,0,1,35,3,1,3,8
1126,"Mark of the Wild",2115,121,784,1815,1397,1404,2314,2361
1459,"Arcane Intellect",2561,54,954,1492,4764,1820,1826,1446
1719,"Recklessness",0,5,34,0,7,10,0,0
1784,"Stealth",12,0,24,129,130,47,3,2
1850,"Dash",24,0,5,16,6,15,22,46
1953,"Blink",20,0,3,0,4,20,1,3
1966,"Feint",6,1,37,126,132,59,1,0
2096,"Mind Vision",0,0,1,0,0,0,0,0
2336,"Elixir of Tongues",11,0,0,1,4,3,0,0
2383,"Find Herbs",2706,184,900,1259,986,2297,625,695
2580,"Find Minerals",2625,218,882,1335,1007,2450,670,881
2645,"Ghost Wolf",446,16,268,335,333,469,439,428
2823,"Deadly Poison",169,22,75,119,94,155,39,67
2825,"Bloodlust",45,0,18,10,15,231,26,0
2983,"Sprint",20,5,16,112,130,36,1,3
3363,"Nether Drake",18,1,0,2,4,10,5,1
3408,"Crippling Poison",150,67,73,100,65,122,33,45
3714,"Path of Frost",55,2,3,9,0,6,0,2
5215,"Prowl",59,0,0,3,3,3,49,79
5217,"Tiger's Fury",171,0,0,0,1,0,166,189
5225,"Track Humanoids",32,1,0,11,5,7,5,0
5277,"Evasion",1,0,1,5,2,7,0,0
5302,"Revenge!",468,0,0,0,8,0,290,335
5487,"Bear Form",140,15,33,67,45,77,98,101
5502,"Sense Undead",0,0,0,0,2,0,0,0
5697,"Unending Breath",2,0,1,4,0,1,1,6
5761,"Numbing Poison",23,4,0,23,12,24,4,18
5784,"Felsteed",0,0,0,0,1,0,0,0
6673,"Battle Shout",2306,43,1192,2955,959,2112,782,869
6940,"Blessing of Sacrifice",64,0,14,36,42,10,54,62
7178,"Water Breathing",0,0,0,0,1,0,0,0
7744,"Will of the Forsaken",1,0,0,0,0,0,1,3
8212,"Giant Growth",4,0,0,2,3,6,0,0
8219,"Flip Out",2,0,0,1,0,2,0,1
8220,"Flip Out",8,0,0,3,11,3,0,2
8221,"Yaaarrrr",0,2,0,0,0,4,0,1
8222,"Yaaarrrr",13,0,3,0,2,3,3,3
8679,"Wound Poison",26,58,19,5,11,22,8,15
8936,"Regrowth",121,6,14,593,367,7,110,128
10060,"Power Infusion",147,14,377,372,384,406,252,106
11327,"Vanish",1,2,18,75,101,14,0,0
11426,"Ice Barrier",20,4,2,3,8,10,4,4
15286,"Vampiric Embrace",29,0,56,79,78,54,52,19
15407,"Mind Flay",202,106,1117,907,870,1094,408,161
16591,"Noggenfogger Elixir",4,0,0,2,5,4,7,12
16593,"Noggenfogger Elixir",4,0,0,0,0,0,1,5
16595,"Noggenfogger Elixir",4,0,0,0,0,2,5,8
16739,"Orb of Deception",1,0,0,0,0,1,0,0
16870,"Clearcasting",6,5,2,267,242,5,0,9
17038,"Winterfall Firewater",2,0,0,0,0,0,0,0
18499,"Berserker Rage",5,0,0,1,0,18,16,12
19236,"Desperate Prayer",28,0,62,84,95,81,46,22
19574,"Bestial Wrath",5,1,246,209,174,176,181,197
19705,"Well Fed",0,0,0,0,1,0,0,0
19710,"Well Fed",0,0,0,0,1,0,0,0
20271,"Judgment",0,3,0,0,0,0,0,0
20572,"Blood Fury",77,0,0,0,0,0,37,38
20707,"Soulstone",31,3,32,38,36,49,36,30
21562,"Power Word: Fortitude",1545,66,3760,6468,5393,4639,1837,740
22812,"Barkskin",72,0,21,64,69,18,123,125
22842,"Frenzied Regeneration",61,2,37,58,45,24,140,138
22888,"Rallying Cry of the Dragonslayer",1,0,0,0,0,0,0,0
23126,"World Enlarger",0,0,0,0,1,0,0,0
23766,"Sayge's Dark Fortune of Intelligence",0,0,0,0,0,2,0,0
23920,"Spell Reflection",136,3,92,87,14,120,19,21
23922,"Shield Slam",221,0,0,0,2,0,139,176
24858,"Moonkin Form",215,7,75,109,113,166,189,189
26297,"Berserking",11,0,33,28,17,40,3,10
27827,"Spirit of Redemption",1,0,2,22,21,8,3,0
28694,"Dreaming Glory",0,0,0,0,0,0,1,0
29166,"Innervate",18,0,3,54,40,1,30,36
31224,"Cloak of Shadows",0,0,9,34,41,16,1,0
31821,"Aura Mastery",35,0,57,48,48,58,13,41
31850,"Ardent Defender",0,0,2,0,22,22,79,2
31884,"Avenging Wrath",66,3,95,241,201,92,122,63
32182,"Heroism",36,0,85,334,68,122,61,0
32216,"Victorious",111,3,13,29,33,66,40,32
32223,"Crusader Aura",116,9,248,66,45,89,404,27
32645,"Envenom",0,12,0,514,736,85,2,0
33206,"Pain Suppression",6,0,0,0,4,1,16,2
33702,"Blood Fury",56,10,0,0,0,0,48,55
33763,"Lifebloom",5,1,2,113,93,6,1,6
33891,"Incarnation: Tree of Life",0,0,0,53,127,0,0,2
34477,"Misdirection",31,0,11,4,2,2,52,34
34767,"Summon Thalassian Charger",7,1,0,0,0,1,0,0
35079,"Misdirection",15,0,11,4,2,2,27,18
36554,"Shadowstep",0,0,26,131,212,38,1,0
36897,"Transporter Malfunction",0,0,0,0,1,0,0,0
36899,"Transporter Malfunction",2,0,0,0,0,0,0,0
40120,"Travel Form",856,78,202,321,199,681,128,196
40568,"Unstable Flask of the Elder",0,0,0,0,1,0,0,0
40623,"Apexis Vibrations",0,0,0,0,1,0,0,0
41635,"Prayer of Mending",276,12,8858,10374,11247,9093,3606,23
42138,"Brewfest Enthusiast",0,0,0,0,12,0,0,0
42365,"Murloc Costume",1,0,0,0,0,0,0,0
42650,"Army of the Dead",100,17,67,57,55,91,172,127
43198,"Stamina",0,1,0,0,0,1,0,0
43199,"Strength",1,0,0,0,0,0,0,0
43308,"Find Fish",2973,186,994,1567,1050,2737,888,1057
44100,"\""Well Fed\""",0,0,0,0,2,0,0,0
44212,"Jack-o'-Lanterned!",2,0,0,0,0,1,0,0
44544,"Fingers of Frost",1,200,0,13,10,2,0,0
45062,"Holy Energy",0,1,0,0,0,0,0,0
45182,"Cheating Death",0,0,6,73,54,11,0,0
45242,"Focused Will",36,0,42,18,10,45,45,5
45694,"Captain Rumsey's Lager",1,0,0,0,0,0,0,0
47585,"Dispersion",5,0,14,16,19,16,9,0
47753,"Divine Aegis",19,2,2025,1818,1672,1612,3,2
47788,"Guardian Spirit",3,0,20,47,38,29,31,0
48018,"Demonic Circle",35,4,9,9,7,10,29,41
48020,"Demonic Circle: Teleport",11,2,2,2,2,5,14,20
48099,"Intellect",0,0,0,3,0,0,0,0
48107,"Heating Up",0,0,0,0,0,364,1,0
48108,"Hot Streak!",1,0,0,0,0,352,0,0
48265,"Death's Advance",35,6,117,193,187,188,71,35
48438,"Wild Growth",98,7,0,3215,3790,7,197,151
48517,"Eclipse (Solar)",76,0,65,65,40,67,123,166
48518,"Eclipse (Lunar)",204,0,235,206,122,224,358,473
48707,"Anti-Magic Shell",48,0,54,90,92,56,124,80
48778,"Acherus Deathcharger",2,0,0,0,0,1,1,0
48792,"Icebound Fortitude",10,1,14,31,20,12,18,26
49039,"Lichborne",12,0,2,0,2,8,25,29
50242,"1000001",5,0,0,0,0,0,0,0
51124,"Killing Machine",0,142,0,292,0,0,0,0
51271,"Pillar of Frost",1,16,0,31,0,1,0,0
51460,"Runic Corruption",997,89,684,628,604,867,1676,1284
52127,"Water Shield",435,4,100,125,144,341,225,244
52437,"Sudden Death",1230,25,1347,1479,410,1746,688,633
53365,"Unholy Strength",0,36,0,0,0,0,0,0
53390,"Tidal Waves",1215,5,6,64,97,187,1272,1667
53563,"Beacon of Light",0,0,0,4,0,1,3,7
53755,"Flask of the Frost Wyrm",0,0,0,0,1,0,0,0
